Measure,IC studies,IC outcomes,IC estimate,IC CI-lower,IC CI-upper,IC I.sq,IC Tau.sq,TRR studies,TRR outcomes,TRR estimate,TRR CI-lower,TRR CI-upper,TRR I.sq,TRR Tau.sq
IAT,167,257,0.797,0.782,0.812,99.298,0.028,43,58,0.5,0.451,0.546,89.215,0.078
IRAP,18,23,0.598,0.473,0.694,78.021,0.26,3,5,0.429,0.171,0.632,0,0
